[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	2941	5	1	0	2000	
2	2942	5	1	0	1800	
3	2945	5	1	0	1600	
4	2956	6	1	0	1400	
5	2950	7	3	0	1200	
6	2939	7	1	0	1000	
7	2950	9	3	0	800	
8	2941	11	3	0	600	
9	2942	16	3	0	400	
10	2948	28	5	0	200	
11	23106	10	0	2880	2000	
12	25988	12	1	2880	1800	
13	60561	28	0	2880	1600	
14	20223	8	2	2880	1400	
15	25987	12	1	2880	1200	
16	123915	63	1	2880	1000	
17	57683	27	0	2880	800	
18	126808	64	2	2880	600	
19	57671	27	3	2880	400	
20	126809	62	5	2880	200	
21	100868	28	2	5760	2000	
22	25979	6	1	5760	1800	
23	60543	14	0	5760	1600	
24	37539	9	2	5760	1400	
25	146963	36	0	5760	1200	
26	123918	32	1	5760	1000	
27	60552	14	1	5760	800	
28	141201	35	2	5760	600	
29	146947	35	2	5760	400	
30	509901	125	6	5760	200	
31	54779	8	0	8640	2000	
32	141198	23	1	8640	1800	
33	63423	10	0	8640	1600	
34	63424	10	0	8640	1400	
35	54791	9	1	8640	1200	
36	123924	21	2	8640	1000	
37	279433	47	2	8640	800	
38	158466	25	1	8640	600	
39	296723	48	1	8640	400	
40	17723800	2916	7	8640	200	
41	129676	17	0	11520	2000	
42	83598	10	0	11520	1800	
43	60579	7	0	11520	1600	
44	83580	10	0	11520	1400	
45	164237	20	0	11520	1200	
46	152705	19	0	11520	1000	
47	152708	19	1	11520	800	
48	72117	12	4	11520	600	
49	578973	74	3	11520	400	
50	521359	64	7	11520	200	
51	74941	7	0	14400	2000	
52	7736151	883	4	14400	1800	
53	8758331	896	4	14400	1600	
54	118150	11	0	14400	1400	
55	5590307	605	4	14400	1200	
56	146943	15	1	14400	1000	
57	4423943	452	4	14400	800	
58	3315128	338	4	14400	600	
59	2335831	233	4	14400	400	
60	1212589	120	6	14400	200	
61	175752	14	0	17280	2000	
62	158468	13	0	17280	1800	
63	331289	27	0	17280	1600	
64	141187	11	0	17280	1400	
65	158468	13	0	17280	1200	
66	175744	14	0	17280	1000	
67	314004	26	0	17280	800	
68	694163	57	1	17280	600	
69	296708	24	2	17280	400	
70	17715157	1458	7	17280	200	
71	83593	6	1	20160	2000	
72	83586	6	1	20160	1800	
73	204546	14	0	20160	1600	
74	184387	12	0	20160	1400	
75	527130	36	0	20160	1200	
76	184403	12	1	20160	1000	
77	224702	15	1	20160	800	
78	446472	32	2	20160	600	
79	446463	31	3	20160	400	
80	890003	62	4	20160	200	
81	187273	11	0	23040	2000	
82	417672	25	0	23040	1800	
83	164221	10	0	23040	1600	
84	233361	14	0	23040	1400	
85	164221	10	0	23040	1200	
86	187267	11	1	23040	1000	
87	763293	47	0	23040	800	
88	394657	24	1	23040	600	
89	671120	41	3	23040	400	
90	1915298	117	5	23040	200	
91	1169357	72	2	25920	2000	
92	158467	9	0	25920	1800	
93	132540	7	0	25920	1600	
94	184382	11	2	25920	1400	
95	365829	19	1	25920	1200	
96	1273038	73	1	25920	1000	
97	313989	17	1	25920	800	
98	313983	17	2	25920	600	
99	1039751	58	2	25920	400	
100	17784299	977	7	25920	200	
